Paper,Authors,Affiliation,DOI,Date,Venue,Goal,Research Questions,Key Findings,Future Work,Scope from our taxonomy,SDLC stage from waterfall,Context,Eligibility score
Grounded Copilot: How Programmers Interact with Code-Generating Models,"Shraddha Barke, San Diego, Michael B James, Nadia Polikarpova",Academia,https://doi.org/10.1145/3586030,2023,Proceedings of the ACM on Programming Languages,"The goal of this paper is to explore how programmers interact with code-generating AI models like Github Copilot, in order to inform the design of future programming assistant tools.","1. What kinds of tasks do programmers need assistance with? 
2. How do programmers prefer to communicate their intent to the tool? 
3. How do they validate the generated code to determine its correctness and how do they cope with errors?","1. Grounded theory of Copilot-assisted programming: User interactions with Copilot can be classified into two modes—acceleration and exploration—akin to the two systems of thought in dual-process theories of cognition.
2. Based on our theory, we provide design recommendations for future programming assistants, including Control over the context, Awareness of the interaction mode, Exploring multiple suggestions.",Not mentioned,Impact,Unspecified,Professional,3.5
How Do Data Analysts Respond to AI Assistance? A Wizard-of-Oz Study,"Madeleine Grunde-Mclaughlin, Jeffrey Heer",Academia,https://doi.org/10.1145/3613904.3641891,2024,CHI'24,The goal of the paper is to explore the design of AI-based data analysis assistants that can provide both execution and planning assistance to make data analysis more robust and reliable and to provide design guidelines based on the study findings.,"RQ 1 - Scope: What types of specifc planning assistance content could an assistant provide?
RQ 2 - Helpfulness: What data analysis suggestions do analysts find helpful, and under what circumstances?
RQ 3 - Impact: How do suggestions impact analysts’ workfows? To what extent do analysts prioritize their own ideas or adopt suggestions and explore alternative approaches?","1. Categories of suggestions: Domain Background, Data Wrangling Assistance, Conceptual Model Formulation, Operationalizing Constructs, Choosing the Statistical Model, Model Results Interpretation, High-Level Planning, Execution Assistance.
2. Analysts preferred suggestions aligned with their analysis plans and backgrounds, valued both execution and planning assistance (with planning requiring more cognitive effort), and found explanations in code, comments, and natural language helpful for understanding suggestions, particularly when well-timed to their tasks.
3. Well-timed and contextual planning assistance helped analysts make alternative decisions, though mismatched suggestions were often rejected, and there were potential drawbacks such as distraction or over-reliance, with impacts varying by individual, assistance type, and timing.",1. Future work should explore how this style of assistance can be support for novice data analysts.,"Form, Impact",Unspecified,Professional,4
How Novices Use LLM-Based Code Generators to Solve CS1 Coding Tasks in a Self-Paced Learning Environment,"Majeed Kazemitabaar, Xinying Hou, Austin Henley, Barbara J Ericson, David Weintrop, Tovi Grossman, How Novices","Academia, Industry",https://doi.org/10.1145/3631802.3631806,2023,Koli Calling'23,"The goal of this paper is to understand how novice programmers use and interact with LLM-based AI code generators, such as OpenAI Codex, when learning to write code in a self-paced Python programming learning environment.","1. How do novices use and interact with LLM-based Code Generators when learning to write code by practicing CS1 coding tasks in a self-paced learning environment?
2. What coding approaches do novice learners employ when they have access to LLM-based code generators to solve programming problems? How do these approaches differently impact learning outcomes measured by retention post-tests?","1. Novice learners used the AI code generator (Codex) in various contexts, including at the beginning of a task, after clearing the editor, after manual coding, after a previous Codex usage, and while already having a solution.
2. Learners used Codex to generate the entire solution, generate new subgoals, and fix existing code. They crafted prompts with varying levels of detail and clarity, which affected the quality of the generated code.
3. The study identified four distinct coding approaches used by learners when writing code with Codex: AI Single Prompt, AI Step-by-Step, Hybrid, and Manual. The AI Single Prompt approach, where learners prompted Codex once to generate the entire solution, resulted in the highest correctness scores on code-authoring tasks but the lowest correctness scores on subsequent code-modification tasks.","1. Future studies with more rigorous techniques such as thinkaloud or eye-tracking studies are required to properly understand how learners verify and check AI-generated code.
2.  More in-depth studies are required to explore the effect of coding approaches on individual learning outcomes.",Impact,Unspecified,Educational,4
How Readable is Model-generated Code? Examining Readability and Visual Inspection of GitHub Copilot,Naser Al Madi,Academia,https://doi.org/10.1145/3551349.3560438,2022,ASE'22,"The goal of this paper is to study the readability and visual inspection of code generated by the GitHub Copilot AI tool, in comparison to code written by human programmers.","1. RQ1: How readable is Copilot-generated code compared to code written completely by human programmers?
2. RQ2: How well do programmers inspect Copilot generated code?","1. Copilot-generated code is generally comparable in complexity and readability to code written by human pair programmers.
2. Programmers spend less time visually inspecting Copilot-generated code compared to human-written code, suggesting a risk of automation bias.
3. While Copilot-generated code is largely comparable to human-written code, it appears to be more difficult to comprehend according to the Halstead difficulty metric.","1. Developing a tool or layer on top of Copilot to filter out buggy and non-optimal suggestions, in order to reduce the liability of using Copilot in software projects.
2. Conducting further studies using the study design from this paper but exploring more diverse programming tasks and involving more heterogeneous participants in order to more comprehensively compare Copilot with humans as an AI pair programmer.","Impact, Quality",Coding: In this phase the whole requirements will be converted to the production environment.,Professional,4
IDA: Breaking Barriers in No-code UI Automation Through Large Language Models and Human-Centric Design,"Segev Shlomov, Avi Yaeli, Sami Marreed, Sivan Schwartz, Netanel Eder, Offer Akrabi, Sergey Zeltyn","Academia, Industry",https://doi.org/10.48550/arXiv.2407.15673,2024,arXiv,"The goal of this paper is to introduce IDA, a novel no-code web UI automation tool designed to empower business users with no technical background, and to validate its effectiveness and user experience through a user study with real-world business users.","1. How can a no-code web UI automation tool be built to empower business users with no technical background?
2. Assess the capability of non-technical business users to successfully create automation with IDA.
3. Collect user feedback on IDA’s overall value and user experience, measuring satisfaction and trust.","1. IDA, a novel no-code web UI automation tool, was designed to empower business users with no technical background to create automations using human-centric design principles.
2. The study developed a prototype of IDA and conducted a user study with real-world business users, which demonstrated that users could effectively utilize IDA to create automation.
3. The qualitative feedback from the user study indicated that IDA is perceived as user-friendly and trustworthy by business users.","1. Developing a natural language-based approach to allow users to outline their automation tasks at a high level before demonstrating them.
2. Improving the algorithms that merge multiple user demonstrations into a cohesive automation, to better understand user intent and semantic context.
3. Adding a chat or dialog interface to IDA that supports multi-modal interactions, to further enhance user engagement and the ability to refine automations.
4. Expanding IDA's functionality beyond web UI automation to include desktop and mobile platforms, which would require new approaches beyond the current DOM-based strategies, such as leveraging computer vision and large multi-modal models.",Form,Unspecified,Professional,3.5
Identifying the Factors That Influence Trust in AI Code Completion,"Adam Brown, Sarah D'Angelo, Ambar Murillo, Ciera Jaspan, Collin Green",Industry,https://doi.org/10.1145/3664646.3664757,2024,AIware'24,"The goal of this paper is to identify the factors that influence developers' trust in AI-powered code completion tools, in order to enable informed design decisions that support developers in building appropriate trust in these tools and potentially unlock large productivity benefits.","1) What factors influence developers' trust in AI-powered code completion?
2) How can we measure the trustworthiness of AI-powered software development tools?","1. Characteristics of the AI suggestion itself, such as the quality and length of the suggestion, influence developers' trust in the suggestion.
2. Developers' expertise and familiarity with the code and the programming language influence their trust in the AI suggestions.
3. The context of the development work, such as whether the suggestion was in a test file, influenced developers' trust in the AI suggestions.
4. One of the strongest positive predictors of accepting a suggestion was the model quality score (predicted accuracy or model confidence) for that completion.","1. Evaluating the impact of changes to AI models and developer tool designs on developer trust, as measured by acceptance rates and developer sentiments.
2. Investigating whether accepted AI-generated code persists through to being submitted, rather than being heavily edited by the developer.
3. Expanding the research to investigate developer trust in other AI-powered tools used in the development workflow, such as chat interactions and test generation.","Impact, Quality",Unspecified,Professional,3
Improving Steering and Verification in AI-Assisted Data Analysis with Interactive Task Decomposition,"Majeed Kazemitabaar, Jack Williams, Austin Z Henley, Carina Negreanu","Academia, Industry",https://doi.org/10.1145/3654777.3676345,2024,UIST'24,"The goal of this paper is to explore the design space of AI-assisted data analysis tools and present two novel interfaces, Stepwise and Phasewise, that focus on interactive task decomposition to improve steering and verification of the AI's outputs.","1) What are the challenges users face in verifying and steering AI-powered data analysis tools?
2) Can interactive task decomposition approaches (Stepwise and Phasewise) help address these challenges compared to a conversational baseline?
3) How do the Stepwise and Phasewise approaches differ in terms of user control, intervention, correction, and verification compared to the baseline?","1. Participants felt significantly more in control of the data analysis process when using the Phasewise and Stepwise systems compared to the Conversational baseline.
2. Participants found the Phasewise and Stepwise systems significantly easier to intervene and fix whenever the AI was doing something wrong compared to the Conversational baseline.
3. The Stepwise system's step-by-step task decomposition improved participants' confidence in verification compared to the Conversational baseline.","1) Conducting longitudinal studies to validate the findings over longer-term use.
2) Addressing limitations in how the system propagates user edits, both upstream and downstream.
3) Exploring ways to better propagate edits to assumptions and code to maintain consistency.","Form, Impact",Unspecified,Professional,3.5
In-IDE Generation-based Information Support with a Large Language Model,"Daye Nam, Andrew Macvean, Vincent Hellendoorn, Bogdan Vasilescu, Brad Myers","Academia, Industry",https://doi.org/10.1145/3597503.3639187,2024,ICSE'24,"The goal of this paper is to investigate the potential of large language models (LLMs) to assist developers in understanding code and learning new concepts and APIs, and to explore how developers interact with and perceive the usefulness of an LLM-powered information support tool within an IDE.","RQ1: To what extent does GILT affect developers’ understanding, task completion time, and task completion rates when faced with unfamiliar code?
RQ2: How do developers interact with GILT, and to what extent does that differ between the participants?
RQ3: How do developers perceive the usefulness of GILT?","1. There are statistically significant gains in task completion rate when using GILT, compared to a web search, but the degree of the benefit varies between students and professionals.
2. Overall, participants used Overview and Prompt-context most frequently. However, the way participants interact with GILT varied based on their learning styles and familiarity with other AI tools.
3. Participants appreciated GILT’s ability to incorporate their code as context easily, but some participants reported that writing a good prompt is still a challenge.","1. Research on developers’ motivations and reasons for code comprehension when LLMs are available will be valuable in informing future tool designs.
2. Further research is needed, exploring various interaction options to support a diverse developer population
3.  To fully understand the implications of deploying this tool into general developer pipelines, it is necessary to observe how programmers use it in real-world settings with larger-scale software systems, less specific goals, and over a longer time frame","Form, Impact",Unspecified,Professional,4
Investigating and Designing for Trust in AI-powered Code Generation Tools,"Ruotong Wang, Ruijia Cheng, Thomas Zimmermann","Academia, Industry",https://doi.org/10.1145/3630106.3658984,2024,FAccT '24,"The goal of this paper is to investigate how software developers evaluate the trustworthiness of AI-powered code generation tools in real-world settings, and to explore design concepts that can help developers make effective trust judgments.","1. What contributes to developers' trust attitudes in AI code generation tools? 
2. What are the challenges developers face in making trust judgments? 
3. What design affordances can support developers in evaluating the trustworthiness of AI-powered code generation tools?","1. Developers tend to trust AI tools when they perceive practical benefits, alignment with their
goals, and trustworthy processes. Furthermore, developers adjust their trust by considering additional situational factors such as task complexity and importance. 
2. Current AI tools do not provide enough support for the developers to assess AI tools’ ability and benevolence in specific situations
3. The researchers explored three sets of design concepts (suggestion quality indicators, usage stats, and control mechanisms) to help developers make effective trust judgments.","1. Future systems can explore how to introduce the control options more clearly.
2. Future research can build on our qualitative investigation by implementing and evaluating interactive prototypes in controlled experiments to better quantify the effects of interface design on users’ trust.
3. To gain a more in-depth understanding of how female and gender minority developers approach trust in AI tools
4. To explore the effect on trust given the fast-growing adoptions in different communities and organizational settings","Form, Impact",Unspecified,Professional,3.5
Investigating Explainability of Generative AI for Code through Scenario-based Design,"Jiao Sun, Q Vera Liao, Michael Muller, Mayank Agarwal, Stephanie Houde, Kartik Talamadupula, Justin D Weisz","Academia, Industry",https://doi.org/10.1145/3490099.3511119,2022,IUI'22,"The goal of the study is to explore users' explainability needs for generative AI (GenAI) models in the context of software engineering use cases, including natural language to code, code translation, and code autocompletion.","1) What are the explainability needs of users for generative AI models in the context of software engineering tasks?
2) How do these explainability needs differ from those for discriminative AI models used in decision-support systems?
3) What types of XAI features can address the explainability needs for generative AI models in software engineering?","1. The authors identified 11 categories of explainability needs for generative AI (GenAI) models for code generation, including Input, Output, How (global), Performance, Why/Why Not, Data, System Requirements & Impact, Limitations, What if, How to, and Control.
2. The authors proposed four types of XAI features to support users of GenAI for code: AI documentation, indications of model uncertainty, visualizations of model attention, and social transparency, and provided concrete design recommendations for these features.","1. Exploring how explainability needs and solutions for GenAI can be contextualized by the characteristics of code artifacts and the software engineering domain.
2. Evaluating the readiness and limitations of GenAI for code technologies, and defining appropriate use cases that do not pose risks to stakeholders.
3. Further investigating the design space for social transparency features to support users' understanding and effective use of GenAI across the software development lifecycle.",Form,Unspecified,Professional,4
Investigating Interaction Modes and User Agency in Human-LLM Collaboration for Domain-Specific Data Analysis,"Jiajing Guo, Vikram Mohanty, Jorge Ono, Hongtao Hao, Liang Gou, Liu Ren",Industry,https://doi.org/10.1145/3613905.3651042,2024,CHI EA'24,"The goal of this paper is to explore the design of AI-powered domain-specific data analysis tools from the dimensions of interaction (open-ended vs. structured) and user agency (high vs. low), and to investigate how these design choices affect data scientists' perceptions and behaviors when using such tools.","RQ1: How do users perceive the outputs of LLMs in the context of domain-specific data analysis tasks?
RQ2: What is the optimal design for LLM-powered tools to assist in data analysis tasks?","1. Participants expressed overall satisfaction with the LLMs in assisting them with data analysis tasks, while raising concerns about the need for transparency and ability to verify results.
2. The different interaction modes (open-ended and structured workflow) and the two degrees of agency (high and low) resulted in different user behaviors, each with its own set of advantages and limitations.","1. Proposing new design ideas based on the design considerations and insights from the current study.
2. Exploring different design options that cater to users with varying levels of skills and needs, beyond just data scientists.
3. Investigating how the tool could benefit users who have strong domain knowledge but limited programming skills.","Form, Impact",Unspecified,Professional,4
Is GitHub Copilot a Substitute for Human Pair-Programming? An Empirical Study,Saki Imai,Academia,https://doi.org/10.1145/3510454.3522684,2022,ICSE'22,"The goal of this paper is to empirically study the effectiveness of pair programming with GitHub Copilot in comparison to human pair-programming, focusing on code productivity and code quality.","RQ1: Is there an advantage in productivity while using GitHub Copilot as compared to a human pair programmer?
RQ2: What is the quality of code written with Copilot in comparison to human pair programmers?","1. Pair programming with GitHub Copilot resulted in higher productivity, as measured by the maximum and mean number of lines of code added, compared to human pair programming.
2. The code generated with Copilot had lower quality compared to human pair programming, as measured by the higher number of lines of code deleted in the subsequent trial.",1. To analyze the eye-tracking data collected during the experiment to compare how programmers inspect code generated by Copilot versus human pair-programming,Impact,Unspecified,Professional,3.5
Is GitHub's Copilot as Bad as Humans at Introducing Vulnerabilities in Code?,"Owura Asare, Meiyappan Nagappan, N Asokan",Academia,https://doi.org/10.1007/s10664-023-10380-1,2023,Empirical Software Engineering Journal,"The goal of this publication is to conduct a comparative security evaluation of the AI code generation tool Copilot, to determine if it is as likely to introduce vulnerabilities in code as human developers.",RQ: Is Copilot equally likely to generate the same vulnerabilities as human developers?,"Copilot is less likely to generate the same vulnerabilities as human developers, implying that Copilot is not always as bad as human software developers.","1. Investigating Copilot's behavior using its training data or more open language models to better understand code generation tools.
2. Conducting a comparative user study to determine if the use of code generation tools like Copilot results in less secure code.
3. Performing longitudinal studies on how code generation tools perform with respect to vulnerabilities of different ages.",Quality,Coding: In this phase the whole requirements will be converted to the production environment.,Professional,4
Ivie: Lightweight Anchored Explanations of Just-Generated Code,"Litao Yan, Alyssa Hwang, Zhiyuan Wu, Andrew Head",Academia,https://doi.org/10.1145/3613904.3642239,2024,CHI'24,"The goal of the study is to explore the notion of an ""instructive copilot"" - a programming assistant that not only generates code, but also supports its understanding with timely, anchored, brief explanations.","1. Does Ivie improve understanding of generated code?
2. Does Ivie influence how much attention programmers give to generated code? 
3. How distracting is Ivie?
4. How does Ivie compare to chat-based AI code comprehension aids?","1. Ivie improved programmers' understanding of generated code compared to a baseline chat-based AI assistant.
2. Ivie reduced programmers' perceived task load compared to the baseline.
3. Programmers preferred Ivie over the baseline and saw it as a complementary tool to other programming aids.","1. Exploring the application of the instructive copilot concept to other domains beyond programming, such as data analysis, creative tools, or other AI-generated content.
2. Enhancing the design of the instructive copilot by incorporating additional design goals like expandability, adaptability, and configurability.
3. Improving the accuracy and reliability of the AI-generated explanations, perhaps by incorporating validation mechanisms or by leveraging multiple AI models.",Form,Unspecified,Professional,4
Lost at C: A User Study on the Security Implications of Large Language Model Code Assistants,"Gustavo Sandoval, Hammond Pearce, Teo Nys, Ramesh Karri, Siddharth Garg, Brendan Dolan-Gavitt",Academia,https://www.usenix.org/conference/usenixsecurity23/presentation/sandoval,2023,USENIX Security'23,"The goal of this paper is to investigate the security implications of using large language model (LLM) code assistants, such as OpenAI Codex, on the code written by developers.","RQ1: Does an AI code assistant help novice users write better functional code? 
RQ2: Given functional benefits, does the code that users write with AI assistance have an acceptable incidence rate of security bugs vis-a-vis code written without assistance? 
RQ3: How do AI-assisted users interact with potentially vulnerable code suggestions—i.e., where do bugs originate in an LLM-assisted system?","1. LLM code assistants like Codex improve developer productivity and functionality of the code written, compared to the control group without LLM assistance.
2. The security impact of using LLM code assistants is small, with the AI-assisted group producing critical security bugs at a rate no greater than 10% higher than the control group.
3. The origin of bugs in the AI-assisted group is split, with 63% of bugs introduced manually by the users and 36% originating from the LLM suggestions.",Not mentioned,"Impact, Quality",Coding: In this phase the whole requirements will be converted to the production environment.,Educational,3.5
Methodology for Code Synthesis Evaluation of LLMs Presented by a Case Study of ChatGPT and Copilot,"Zoltán Ságodi, István Siket, Rudolf Ferenc","Academia, Industry",doi: 10.1109/ACCESS.2024.3403858,2024,IEEE Access Journal,The goal of this paper is to propose a methodology for evaluating and comparing the code synthesis capabilities of Large Language Models (LLMs) to help developers choose the best available model.,"RQ 1: How does LLM-generated source code score in terms of source code quality?
RQ 2: Is the generated source code accepted by developers?
RQ 3: What aspects should be considered when choosing LLM-based generative tools?","1. ChatGPT outperformed Copilot in terms of functional validity, generating more perfect solutions on the program synthesis benchmark tasks.
2. Both models generated good quality code in terms of technical validity, but ChatGPT's code was more readable and modifiable according to the human evaluations.
3. Overall, the human evaluators preferred the code generated by ChatGPT over Copilot, rating it higher in terms of first impression, usability, and acceptance.","1) Developing a more automated framework for comparing LLMs in code generation, including evaluating metrics like memory and time consumption.
2) Using the comparison framework to identify the preferred LLMs among developers and investigate what features of those models are preferred, in order to inform the development of even better models.
3) Using the comparison methodology to study the effects of different prompting techniques and fine-tuning approaches, in order to gain insights that can be used to further improve LLMs for code generation.",Quality,Unspecified,Professional,4
Multi-line AI-assisted Code Authoring,"Omer Dunay, Daniel Cheng, Adam Tait, Parth Thakkar, Peter C. Rigby, Andy Chiu, Imad Ahmad, Arun Ganesan, Chandra Maddila, Vijayaraghavan Murali, Ali Tayyebi, Nachiappan Nagappan",Industry,https://doi.org/10.1145/3663529.3663836,2024,FSE'24,"The goal of the study is to describe how the authors scaled the CodeCompose product from displaying single-line suggestions to multi-line suggestions, and the unique challenges they had to overcome to improve the usability of these multi-line suggestions for developers.",1. What is the impact of multi-line to 10’s of thousands of developers.,"1. Multi-line suggestions accounted for 42% of total characters accepted by users, despite only accounting for 16% of displayed suggestions.
2. Multi-line suggestions nearly doubled the percentage of keystrokes saved for users from 9% to 17%.
3. Less than 1% of engineers opted out of using multi-line suggestions, indicating widespread adoption and favorability.","1. Exploring additional metrics beyond the ones currently tracked by the authors to further evaluate the effectiveness of multi-line suggestions.
2. Conducting more research and deployment of code completion tools in large industrial environments, especially with the rapid advancements in Generative AI.
3. Further investigating the specific algorithms used for latency reduction and their impact in a production environment.",Impact,Coding: In this phase the whole requirements will be converted to the production environment.,Professional,3
Non-Expert Programmers in the Generative AI Future,"Molly Q Feldman, Carolyn Jane Anderson",Academia,https://doi.org/10.1145/3663384.3663393,2024,CHIWORK’24,"The goal of the paper is to investigate how non-expert programmers, specifically Code Adaptors and Code Runners, will be impacted by the advent of generative AI tools for programming (Code LLMs), establish a baseline for their effectiveness, observe the effect of traditional CS1 education, and propose key skills needed for non-experts to succeed in the era of generative AI.",1. How non-programmers work with Code LLMs to solve problems drawn from traditional Introduction to Computer Science (CS1) courses compared to beginners?,"1. Non-programmers struggled to effectively use the Code LLM, with low success and prompt reliability rates compared to beginning programmers.
2. Non-programmers struggled with technical communication, including describing their intent in natural language and using the appropriate programming terminology.
3. Non-programmers struggled to understand and evaluate the code generated by the Code LLM, unlike beginning programmers who could at least identify specific issues with the generated code.","1. Using open-source Code LLMs to better equalize access for researchers and users
2. Investigating how non-experts interact with conversational Code LLMs that can explain code and engage in multi-turn interactions
3. Exploring non-expert interactions with Code LLMs in more diverse populations and environments beyond the selective liberal arts college context of this study",Impact,Unspecified,Educational,4
On the Concerns of Developers When Using GitHub Copilot,"Xiyu Zhou, Peng Liang, Beiqi Zhang, Zengyang Li, Aakash Ahmad, Mojtaba Shahin, Muhammad Waseem",Academia,https://doi.org/10.1016/j.jss.2024.112204,2024,Journal of Systems and Software,"The goal of this study is to identify the problems encountered by users when coding with Copilot, as well as their underlying causes and potential solutions.","1. What are the problems faced by users while using Copilot in software development practice?
2. What are the underlying causes of these problems?
3. What are the potential solutions to address these problems?","1. Operation Issue and Compatibility Issue are the most common problems faced by Copilot users.
2. Copilot Internal Error, Network Connection Error, and Editor/IDE Compatibility Issue are the most frequent causes of the problems.
3. Bug Fixed by Copilot, Modify Configuration/Setting, and Use Suitable Version are the predominant solutions to address the problems.","1. Continuously collecting new data to analyze the latest usage problems, causes, and solutions for Copilot as it evolves.
2. Conducting an industrial survey and interviews to gather more information about Copilot users' programming experience and development contexts, and how these factors impact the problems they encounter.
3. Comparing Copilot with other popular AI code assistant tools to gain valuable insights.",Impact,Unspecified,Professional,4
On the Design of AI-powered Code Assistants for Notebooks,"Andrew M Mcnutt, Chenglong Wang, Robert A Deline, Steven M. Drucker","Academia, Industry",https://doi.org/10.1145/3544548.3580940,2023,CHI'23,"The goal of this paper is to investigate the potential of code assistants in computational notebooks and identify challenges and opportunities for future systems in this space, in order to empower future designers to build more helpful code assistants.","1. What choices are available in the design of AI-powered code assistants in notebooks?
2. What do users expect from such assistants in this context?","1. Participants strongly supported adapting Copilot-style assistants for notebooks, favoring domain-specific or non-core task systems. While ambient interfaces provide low-friction recommendations, their generality can lead to opaque use and lack of task specificity.","1. Explore the design potential of nonlinear input systems, such as code-generating spreadsheets (e.g., Mito).  
2. Investigate bidirectionally synchronized projectional editors for handling complex interface tasks like visualization annotations.  
3. Examine the feasibility and utility of code assistants that output only metadata, such as code explanations.","Form, Impact",Unspecified,Professional,4
On the Robustness of Code Generation Techniques: An Empirical Study on GitHub Copilot,"Antonio Mastropaolo, Luca Pascarella, Emanuela Guglielmi, Matteo Ciniselli, Simone Scalabrino, Rocco Oliveto, Gabriele Bavota",Academia,DOI: 10.1109/ICSE48619.2023.00181,2023,ICSE'23,"The goal of this study is to understand how robust a state-of-the-art deep learning-based code completion approach, specifically GitHub Copilot, is to changes in the natural language description provided as input.","1. To what extent can automated paraphrasing techniques be used to test the robustness of DL-based code generators?
2. To what extent is the output of GitHub Copilot influenced by the code description provided as input by the developer?","1. State-of-the-art paraphrasing techniques can be used to test the robustness of deep learning-based code recommenders, as they are able to generate semantically equivalent descriptions of a reference text in up to 77% of cases.
2. Providing different but semantically equivalent natural language descriptions to the deep learning-based code recommender (GitHub Copilot) results in different code recommendations in ∼46% of cases.
3. The differences in the recommended code can result in the loss of correct recommendations, with ∼28% of test-passing methods only being obtained with either the original or the paraphrased descriptions.","1. Running a controlled experiment with developers to assess the impact of different code descriptions on the recommendations received from DL-based code recommenders.
2. Investigating how to customize the automatic paraphrasing techniques to further improve their performance on software-related text (such as methods' descriptions).",Quality,Coding: In this phase the whole requirements will be converted to the production environment.,Professional,4
"Performance, Workload, Emotion, and Self-Efficacy of Novice Programmers Using AI Code Generation","Nicholas Gardella, Raymond Pettit, Sara L Riggs",Academia,https://doi.org/10.1145/3649217.3653615,2024,ITiCSE 2024,"The goal of this paper is to investigate the effects of using an AI-driven Development Environment (AIDE) like GitHub Copilot on the performance, workload, emotion, and self-efficacy of novice programmers under time pressure, as well as how additional experience with the AIDE influences novices' performance and self-efficacy.","1. How do AIDEs affect the performance, workload, emotion, and self-efficacy of novice programmers under time pressure?
2. How do AIDEs influence the effects of additional time spent programming on novices' performance and self-efficacy.","1. Using the AI-driven development environment (AIDE) significantly improved programming performance, reduced mental workload, and reduced effort for novice programmers.
2. With more experience using the AIDE, novice programmers showed improvements in both their actual and perceived performance, which did not occur when programming alone without the AIDE.
3. AIDEs provide benefits that may tempt students to overuse them, but they also have the potential to help struggling students build programming self-efficacy through new skills gained from using the technology.","1. Extending the findings with broader groups of participants and comparing AI code generation to other programming assistance methods like internet search and pair programming.
2. Evaluating the long-term effects of using AI code generation tools and focusing more on learning-specific outcomes.
3. Investigating how much experience is needed for novice programmers to reach a plateau in their performance when using AI code generation tools.
4. Debating the extent to which solo programming abilities should be expected of graduating students as AI code generation tools become more advanced and accessible.",Impact,Unspecified,Educational,3.5
Practices and Challenges of Using GitHub Copilot: An Empirical Study,"Beiqi Zhang, Peng Liang, Xiyu Zhou, Aakash Ahmad, Muhammad Waseem",Academia,https://doi.org/10.18293/SEKE2023-077,2023,SEKE,"The goal of the study is to understand the practices and challenges of using GitHub Copilot, an AI-enabled tool for autocompleting source code, based on data collected from Stack Overflow and GitHub Discussions.","RQ1: What programming languages are used with GitHub Copilot?
RQ2: What IDEs are used with GitHub Copilot?
RQ3: What technologies are used with GitHub Copilot?
RQ4: What functions are implemented by using GitHub Copilot?
RQ5: What are the benefits of using GitHub Copilot?
RQ6: What are the limitations and challenges of using GitHub Copilot?","1) The major programming languages used with Copilot are JavaScript and Python, 
2) the main IDE used with Copilot is Visual Studio Code, 
3) the most commonly used technology with Copilot is Node.js, 
4) the leading function implemented by Copilot is data processing, 
5) the significant benefit of using Copilot is useful code generation, 
6) the main limitation encountered by practitioners when using Copilot is difficulty of integration.","1. Further explore when to use Copilot, for what specific purposes, and by whom",Impact,Coding: In this phase the whole requirements will be converted to the production environment.,Professional,4
Practitioners' expectations on automated code comment generation,"Xing Hu, Xin Xia, David Lo, Zhiyuan Wan, Qiuyuan Chen, Thomas Zimmermann","Academia, Industry",https://doi.org/10.1145/3510003.3510152,2022,ICSE'22,The goal of the study is to investigate practitioners' expectations on automated code comment generation tools.,"1. What is the state of code commenting practices and what are the issues?
2. Are automated code comment generation tools useful for practitioners?
3. What are practitioners' expectations on code comment generation tools?
4. How close are the current state-of-the-art studies to satisfy practitioner needs and demands before adoption?","1. Practitioners often write code comments during software development, but the quantity and quality of comments in their projects are limited. Many practitioners are confused when reading code without comments, especially junior practitioners.
2. The main commenting issues that practitioners face are lack of comments and generic comments that do not provide much information.
3. 80% of the survey respondents think code comment generation tools have the potential to be useful for them, as these tools can improve code readability, development efficiency, and help understand source code.","1. Investigating evaluation criteria that practitioners value most, such as the ""amount of additional information"" beyond what can be easily gleaned from the source code.
2. Focusing on generating comments at the right locations instead of generating comments for all types of code units.
3. Investigating techniques to generate comments that include information on how to use a method and why a method exists, in addition to just describing the functionality.",Impact,"Maintenance: After the software is already released, it may need some modifications, improvements, errors correction, and refinement accordingly.",Professional,4
Practitioners' Expectations on Code Completion,"Chaozheng Wang, Junhao Hu, Cuiyun Gao, Yu Jin, Tao Xie, Hailiang Huang, Zhenyu Lei, Yuetang Deng","Academia, Industry",https://doi.org/10.1145/3611643.3616280,2023,ESEC/FSE'23,"The goal of this paper is to investigate practitioners' expectations on code completion tools and compare them with the current research in this area, in order to provide future research directions that can better meet the demands of practitioners.","RQ1: What is the state of code completion practices?
RQ2: How important is code completion, and what are the issues faced by practitioners when they use code completion?
RQ3: What are practitioner expectations on code completion?
RQ4: How well does existing research satisfy the practitioner's expectations?","1. The most commonly used code completion tool is the built-in IDE tool; only about 13% of participants use third-party tools like IntelliCode and Copilot, with 54% desiring better tools.
2. Identifier completion and API recommendation are the most popular token-level code completion scenarios.
3. API argument recommendation, completion of the currently edited line, and skeleton prediction are frequently used statement-level code completion scenarios.
4. 88% of participants believe code completion tools are important, with most agreeing these tools provide useful hints, improve efficiency, and enhance the programming experience.
5. Major concerns include erroneous code completion, difficult tool installation, and unsatisfactory ranking of completions.
6. Over 85% of participants agree that identifier completion, API recommendation, and path completion are essential for token-level code completion tools.
7. Skeleton prediction, line completion, and API argument recommendation are the mo",Not mentioned,Impact,Coding: In this phase the whole requirements will be converted to the production environment.,Professional,4
